section_name,section_credits_required,section_order,specialization_name,course_code,item_order,course_title,course_credits
Master of Arts Required Courses,27,0,,CD605,0,Gospel Catechesis,3
Master of Arts Required Courses,27,0,,CH501,1,Church History-One,3
Master of Arts Required Courses,27,0,,CS601,2,Christian Ethics,3
Master of Arts Required Courses,27,0,,MS501,3,Missional Formation,3
Master of Arts Required Courses,27,0,,NT(IBS)510,4,NT(IBS)510 or NT(IBS)511 Ind Bib St,3
Master of Arts Required Courses,27,0,,NT520,5,New Testament Introduction,3
Master of Arts Required Courses,27,0,,OT520,6,Old Testament Introduction,3
Master of Arts Required Courses,27,0,,TH501,7,Basic Christian Doctrine,3
Master of Arts Required Courses,27,0,,TH601,8,Theology of John Wesley,3
MA-TS Core,6,1,,CH502,0,Church History-Two,3
MA-TS Core,6,1,,TH610,1,Triune Theism,
MA-TS Core,6,1,,TH620,2,Doctrine and Work of Christ,
MA-TS Core,6,1,,TH630,3,Doctrine of the Holy Spirit,3
Ethics & Social Responsibility,18,2,,CS615,0,Moral Issues in Death & Sickness,3
Ethics & Social Responsibility,18,2,,CS638,1,CS638 Ethics of Community or CS652,
Ethics & Social Responsibility,18,2,,OTHER-ETHICSSO-ETHICSOFHOSPITCONT-2,2,Ethics of Hospit. & Contemp. Challenges,3
Ethics & Social Responsibility,18,2,,CS/TH631,3,CS/TH631 Public Theology or CS/TH715,3
Ethics & Social Responsibility,18,2,,OTHER-ETHICSSO-CSELECTIVECOURSE-4,4,CS Elective Course,3
General Elective Courses,9,3,,OTHER-GENERALE-ELECTIVES-0,0,General Elective Courses electives,9
