section_name,section_credits_required,section_order,specialization_name,course_code,item_order,course_title,course_credits
Required Courses,18,0,,MC971,0,Applied Anthrop & Missiology,3
Required Courses,18,0,,MD955,1,Integral Mission,3
Required Courses,18,0,,MD980,2,Research Methods in Mission,3
Required Courses,18,0,,ME944,3,Mission of Church in the World,3
Required Courses,18,0,,MH902,4,Biblical Theology of Mission,3
Required Courses,18,0,,CD920,5,Instructional Theory & Dev,3
Required Courses,18,0,,MS745,6,Seminar in Missiology,0
Development Studies Courses,18,1,Evangelization,ME914,0,Theology of Evangelism,3
Development Studies Courses,18,1,Evangelization,ME933,1,Wesleyan Theol of Mission,3
Development Studies Courses,18,1,Evangelization,ME943,2,Evangelization Seminar,3
Development Studies Courses,18,1,Evangelization,ME9__,3,Concentration Electives,9
General Elective Courses,12,2,,OTHER-GENERALE-ELECTIVES-0,0,General Elective Courses electives,12
